raw,specialization,specialization_norm,specialization_score,normalize,r/n_score,standardize,s/n_score
Đại học Ngoại thương,Quản trị kinh doanh,quan tri kinh doanh,31,dai hoc ngoai thuong,65,dai hoc ngoai thuong,100
Học viện Báo chí và Tuyên truyền,Quảng cáo,quang cao,20,hoc vien bao chi tuyen truyen,69,hoc vien bao chi tuyen truyen,100
Vietnam National University,English Translation and Interpretation,english translation and interpretation,43,vietnam national university,89,None,-1
Đại học khoa học xã hội và nhân văn,công tác xã hội,cong tac xa hoi,34,dai hoc khoa hoc xa hoi nhan van,72,None,-1
Natinal Economics University,Bachelor of Business Administration,bachelor of business administration,35,natinal economics university,89,None,-1
Đại học Hà Nội,Tài chính - Ngân hàng,tai chinh ngan hang,34,dai hoc ha noi,50,dai hoc ha noi,100
đại học hải phòng,giáo dục tiểu học,giao duc tieu hoc,41,dai hoc hai phong,71,dai hoc hai phong,100
National Economics University,Investment Economics,investment economics,49,national economics university,90,None,-1
Học Viện Ngoại Giao,Truyền Thông Quốc Tế,truyen thong quoc te,24,hoc vien ngoai giao,68,hoc vien ngoai giao,100
đại học công nghệ thông tin - đại học quốc gia tphcm,cử nhân cntt,cu nhan cntt,23,dai hoc cong nghe thong tin dai hoc quoc gia hcm,76,dai hoc cong nghe thong tin dai hoc quoc gia hcm,100
trường Đại học Thương mại,quản trị kinh doanh,quan tri kinh doanh,27,dai hoc thuong mai,51,dai hoc thuong mai,100
Trường Đại học Thương mại,Cao Học Thương Mại,cao hoc thuong mai,50,dai hoc thuong mai,51,dai hoc thuong mai,100
Đại học Ngoại thương,Quản trị kinh doanh,quan tri kinh doanh,31,dai hoc ngoai thuong,65,dai hoc ngoai thuong,100
Cao Đẳng Nghề Công Nghiệp Hà Nội,Công Nghệ Thông Tin,cong nghe thong tin,43,cao dang nghe cong nghiep ha noi,59,cao dang nghe cong nghiep ha noi,100
Đại học kinh tế tp hcm,Quản trị kinh doanh,quan tri kinh doanh,42,dai hoc kinh te hcm,73,dai hoc kinh te   hcm,95
Trường Đại học Cần Thơ,Công nghệ thông tin,cong nghe thong tin,35,dai hoc can tho,43,dai hoc can tho,100
Đại học kinh tế tài chính,Quản trị nhân lực,quan tri nhan luc,29,dai hoc kinh te tai chinh,76,None,-1
Cao đẳng kinh tế đối ngoại,Kế toán thương mại,ke toan thuong mai,32,cao dang kinh te doi ngoai,73,cao dang kinh te doi ngoai,100
Học viện công nghệ bưu chính viễn thông,Công nghệ truyền thông,cong nghe truyen thong,46,hoc vien cong nghe buu chinh vien thong,77,hoc vien cong nghe buu chinh vien thong,100
ĐH Ngoại Thương,Luật Thương mại quốc tế,luat thuong mai quoc te,33,dai hoc ngoai thuong,46,dai hoc ngoai thuong,100
Học viện công nghệ bưu chính viễn thông,Marketing,marketing,17,hoc vien cong nghe buu chinh vien thong,77,hoc vien cong nghe buu chinh vien thong,100
Ten lơ Man,Học Sinh,hoc sinh,22,ten lo man,70,None,-1
Đại học Văn hoá Hà Nội,Kinh doanh Xuất bản phẩm,kinh doanh xuat ban pham,39,dai hoc van hoa ha noi,55,dai hoc van hoa ha noi,100
Đại học Văn hoá Hà Nội,Kinh doanh Xuất bản phẩm,kinh doanh xuat ban pham,39,dai hoc van hoa ha noi,55,dai hoc van hoa ha noi,100
Đại học Văn hoá Hà Nội,Kinh doanh Xuất bản phẩm,kinh doanh xuat ban pham,39,dai hoc van hoa ha noi,55,dai hoc van hoa ha noi,100
Đại học Văn hoá Hà Nội,Kinh doanh Xuất bản phẩm,kinh doanh xuat ban pham,39,dai hoc van hoa ha noi,55,dai hoc van hoa ha noi,100
Đại học Văn hoá Hà Nội,Kinh doanh Xuất bản phẩm,kinh doanh xuat ban pham,39,dai hoc van hoa ha noi,55,dai hoc van hoa ha noi,100
Đại học Văn hoá Hà Nội,Kinh doanh Xuất bản phẩm,kinh doanh xuat ban pham,39,dai hoc van hoa ha noi,55,dai hoc van hoa ha noi,100
Đại học Văn hoá Hà Nội,Kinh doanh Xuất bản phẩm,kinh doanh xuat ban pham,39,dai hoc van hoa ha noi,55,dai hoc van hoa ha noi,100
Cao Đẳng Kỹ Thuật Cao Thắng,Điện Tử Công Nghiệp Và Dân Dụng,dien tu cong nghiep dan dung,31,cao dang ky thuat cao thang,63,cao dang ky thuat cao thang,100
Trường đại học kinh tế quốc dân,Quản trị Marketing,quan tri marketing,29,dai hoc kinh te quoc dan,65,dai hoc kinh te quoc dan,100
huhhh,chhbh,chhbh,60,huhhh,100,None,-1
báhhsh,hsghshs,hsghshs,62,bahhsh,83,None,-1
Đại học Nguyễn Tất Thành,chuyên ngành công nghệ may thời trang,chuyen nganh cong nghe may thoi trang,43,dai hoc nguyen tat thanh,62,dai hoc nguyen tat thanh,100
Học viện công nghệ bưu chính viễn thông,Truyền thông đa phương tiện,truyen thong da phuong tien,33,hoc vien cong nghe buu chinh vien thong,77,hoc vien cong nghe buu chinh vien thong,100
Sài Gòn University,Ngôn ngữ Anh,ngon ngu anh,27,sai gon university,72,None,-1
Công Nghiệp 4,Phục Vụ Nhà Hàng,phuc vu nha hang,28,cong nghiep 4,69,None,-1
Công Nghiệp 4,Phục Vụ Nhà Hàng,phuc vu nha hang,28,cong nghiep 4,69,None,-1
Trường Cao đẳng Kinh tế Đối Ngoại,Marketing Thương mại,marketing thuong mai,35,cao dang kinh te doi ngoai,58,cao dang kinh te doi ngoai,100
Đại học Hà Nội,Quốc tế học,quoc te hoc,24,dai hoc ha noi,50,dai hoc ha noi,100
xxs,sds,sds,33,xxs,100,None,-1
hutech,quản trị kinh doanh tài chính ngân hàng,quan tri kinh doanh tai chinh ngan hang,18,hutech,100,None,-1
Đại học Xã hội và Nhân văn,Ngôn ngữ Anh,ngon ngu anh,22,dai hoc xa hoi nhan van,63,None,-1
Đại học Ngoại Ngữ,Tiếng Anh Kinh tế Quốc tế,tieng anh kinh te quoc te,33,dai hoc ngoai ngu,59,None,-1
Đại học Khoa học Xã hội và Nhân văn,Quản trị dịch vụ du lịch và lữ hành,quan tri dich vu du lich lu hanh,30,dai hoc khoa hoc xa hoi nhan van,63,None,-1
Đại học Thương Mại,Quản trị kinh doanh,quan tri kinh doanh,27,dai hoc thuong mai,56,dai hoc thuong mai,100
thang long,toán,toan,43,thang long,100,None,-1
Trường Đại học Thủ Dầu Một,Khoa Ngôn Ngữ Anh,khoa ngon ngu anh,28,dai hoc thu dau mot,44,dai hoc thu dau mot,100
DH Khoa học Tự nhiên,Công nghệ Thông tin,cong nghe thong tin,36,dai hoc khoa hoc tu nhien,58,None,-1
Đại học kinh doanh và công nghệ Hà Nội,Quản lý kinh doanh,quan ly kinh doanh,45,dai hoc kinh doanh cong nghe ha noi,71,dai hoc kinh doanh cong nghe ha noi,100
đại học Tài Chính Marketing,chuyên ngành Quản Trị Kinh Doanh,chuyen nganh quan tri kinh doanh,34,dai hoc tai chinh marketing,70,dai hoc tai chinh   marketing,96
Đại học Kinh doanh và Công nghệ Hà Nội,Ngân hàng,ngan hang,23,dai hoc kinh doanh cong nghe ha noi,66,dai hoc kinh doanh cong nghe ha noi,100
Cao Đẳng Du Lịch Hà Nội,"Quản trị kinh doanh khách sạn, nhà hàng",quan tri kinh doanh khach san nha hang,35,cao dang du lich ha noi,57,cao dang du lich ha noi,100
THCS Trần Đăng NInh,Lịch Sử,lich su,15,thcs tran dang ninh,47,None,-1
fpt-arena,thiết kế đồ họa,thiet ke do hoa,21,fpt arena,89,None,-1
fpt-arena,thiết kế đồ họa,thiet ke do hoa,21,fpt arena,89,None,-1
Bach Khoa University,Công trình thủy,cong trinh thuy,29,bach khoa university,85,None,-1
Học viện tài chính,Kế toán trưởng,ke toan truong,31,hoc vien tai chinh,72,hoc vien tai chinh,100
Học viện tài chính,Tài chính - ngân hàng,tai chinh ngan hang,31,hoc vien tai chinh,72,hoc vien tai chinh,100
"Troy University (USA) - School of International Education, Hanoi University of Science and Technology, Hanoi (Vietnam) ","Bachelor of Global Business Administration, Troy University (USA) ",bachelor of global business administration troy university,39,troy university school of international education hanoi university of science and technology hanoi,81,None,-1
đại học kiến trúc đà nẵng,kiến trúc công trình,kien truc cong trinh,44,dai hoc kien truc da nang,68,dai hoc kien truc da nang,100
Đại học Khoa học tự nhiên,Sinh học,sinh hoc,30,dai hoc khoa hoc tu nhien,72,None,-1
Đại học Khoa học tự nhiên,Sinh học,sinh hoc,30,dai hoc khoa hoc tu nhien,72,None,-1
Đại học Công Nghệ - ĐHQGHN,Công Nghệ Thông Tin,cong nghe thong tin,33,dai hoc cong nghe dai hoc quoc gia ha noi,36,dai hoc cong nghe dai hoc quoc gia ha noi,100
Đại học Công Nghệ - ĐHQGHN,Công Nghệ Thông Tin,cong nghe thong tin,33,dai hoc cong nghe dai hoc quoc gia ha noi,36,dai hoc cong nghe dai hoc quoc gia ha noi,100
Học viện Công nghệ Bưu chính Viễn thông,CNTT,cntt,0,hoc vien cong nghe buu chinh vien thong,69,hoc vien cong nghe buu chinh vien thong,100
Đại học Tài Chính - Marketing,Marketing,marketing,44,dai hoc tai chinh marketing,68,dai hoc tai chinh   marketing,96
BMG International Education,Quản lý sự kiện,quan ly su kien,24,bmg international education,81,None,-1
cao đẳng điện lực miền trung,điện tử viễn thông,dien tu vien thong,43,cao dang dien luc mien trung,79,cao dang dien luc mien trung,100
Trường đào tạo lái xe SAIGON,Khóa đào tạo lái xe chuyên nghiệp,khoa dao tao lai xe chuyen nghiep,48,dao tao lai xe saigon,45,None,-1
Đại học Thương mại,Luật Kinh tế,luat kinh te,27,dai hoc thuong mai,61,dai hoc thuong mai,100
đại học lâm nghiệp,lâm học,lam hoc,32,dai hoc lam nghiep,72,dai hoc lam nghiep,100
học viện nông nghiệp việt nam,công nghệ thực phẩm,cong nghe thuc pham,46,hoc vien nong nghiep viet nam,83,hoc vien nong nghiep viet nam,100
Đại học Khoa học Xã hội và Nhân văn,Quản lý Nhân lực,quan ly nhan luc,21,dai hoc khoa hoc xa hoi nhan van,63,None,-1
Đại học Khoa học Xã hội và Nhân văn,khoa học quản lý (quản lý nguồn nhân lực),khoa hoc quan ly,38,dai hoc khoa hoc xa hoi nhan van,63,None,-1
vượt qua sóng gió,đời là bể khổ,doi la be kho,20,vuot qua song gio,76,None,-1
ĐH Ngân hàng TP. HCM,Thương mại điện tử,thuong mai dien tu,31,dai hoc ngan hang hcm,39,dai hoc ngan hang   hcm,95
Đại học Bình Dương,Cử nhân tiếng Anh,cu nhan tieng anh,40,dai hoc binh duong,56,dai hoc binh duong,100
đại học Tôn Đức Thắng,Quản lí thể thao,quan li the thao,40,dai hoc ton duc thang,61,dai hoc ton duc thang,100
kinh tế quốc dân,quản trị kinh doanh thương mại,quan tri kinh doanh thuong mai,35,kinh te quoc dan,81,None,-1
Đại Học Ngoại Ngữ,Tiếng Anh Kinh Tế Quốc Tế,tieng anh kinh te quoc te,33,dai hoc ngoai ngu,53,None,-1
Đại học Kinh Tế Quốc Dân,Marketing - Quản trị bán hàng,marketing quan tri ban hang,38,dai hoc kinh te quoc dan,58,dai hoc kinh te quoc dan,100
đại học điện lực,quản lý năng lượng,quan ly nang luong,29,dai hoc dien luc,62,dai hoc dien luc,100
Học viện Ngoại giao Việt Nam (DAV),Truyền thông Quốc tế,truyen thong quoc te,29,hoc vien ngoai giao viet nam,65,None,-1
"THPT Chuyên Lê Hồng Phong, Nam Định",chuyên Anh,chuyen anh,36,thpt chuyen le hong phong nam dinh,58,None,-1
Thang Long University,Finance & Banking,finance banking,32,thang long university,86,None,-1
Đại học sư phạm thành phố Hồ Chí Minh,Giáo Dục Đặc Biệt,giao duc dac biet,28,dai hoc su pham hcm,43,dai hoc su pham   hcm,95
Học viện Báo chí và Tuyên truyền,Quan hệ công chúng (PR),quan he cong chung,31,hoc vien bao chi tuyen truyen,66,hoc vien bao chi tuyen truyen,100
Học viện CN Bưu chính viễn thông,Truyền thông đa phương tiện,truyen thong da phuong tien,33,hoc vien cong nghe buu chinh vien thong,62,hoc vien cong nghe buu chinh vien thong,100
Đại học Kinh tế Quốc dân,Truyền thông Marketing,truyen thong marketing,26,dai hoc kinh te quoc dan,67,dai hoc kinh te quoc dan,100
đại học luật,luật dân sự,luat dan su,26,dai hoc luat,67,None,-1
Thpt Hác dich,Trungg Cáp duoc,trungg cap duoc,29,thpt hac dich,77,None,-1
Trường Đại học Nha Trang,Kế toán,ke toan,25,dai hoc nha trang,59,dai hoc nha trang,100
Cao Đẳng Giao Thông Vận Tải 3,công nghệ kĩ thuật o tô,cong nghe ki thuat o to,42,cao dang giao thong van tai 3,66,None,-1
đại học công nghiệp,công nghệ thông tin,cong nghe thong tin,42,dai hoc cong nghiep,74,None,-1
Bình Dương University,Tài chính - Ngân Hàng,tai chinh ngan hang,33,binh duong university,71,None,-1
Trường DH kinh tế Quốc dân,Thương mại quốc tế,thuong mai quoc te,38,dai hoc kinh te quoc dan,56,dai hoc kinh te quoc dan,100
đại học y thái bình ,bác sĩ đa khoa,bac si da khoa,36,dai hoc y thai binh,72,None,-1
Chuyên Khoa Học Tự Nhiên,Toán - Tin,toan tin,29,chuyen khoa hoc tu nhien,62,None,-1
Hotel Insitute Montreux,Hospitality Management - Specialization in Marketing,hospitality management specialization in marketing,29,hotel insitute montreux,87,None,-1
thcs bình sơn,học chữ,hoc chu,40,thcs binh son,85,None,-1
Danang University of Economics,Marketing,marketing,21,danang university of economics,90,None,-1
Viet Nam National University Of Agriculture,Information Technology,information technology,34,viet nam national university of agriculture,86,None,-1
Fpt university,software,software,27,fpt university,93,None,-1
trường đại học võ trường toản,trung cấp dược,trung cap duoc,33,dai hoc vo truong toan,59,dai hoc vo truong toan,100
ĐH tài chính kế toán HN,Tài chính tín dụng,tai chinh tin dung,44,dai hoc tai chinh ke toan ha noi,55,None,-1
Tây Nguyên University,cử nhân văn,cu nhan van,31,tay nguyen university,76,None,-1
ĐH Huế,luật,luat,13,dai hoc hue,24,dai hoc hue,100
Đại học Ngoại Thương,Kinh tế ngoại thương,kinh te ngoai thuong,60,dai hoc ngoai thuong,60,dai hoc ngoai thuong,100
Đại học Ngoại Thương,Thạc sỹ Thương mại,thac sy thuong mai,37,dai hoc ngoai thuong,60,dai hoc ngoai thuong,100
vạn xuân,công nghệ thông tin,cong nghe thong tin,22,van xuan,75,None,-1
cao đẳng kinh tế công nghệ Hồ chí minh,công nghệ sinh học,cong nghe sinh hoc,50,cao dang kinh te cong nghe hcm,71,cao dang kinh te cong nghe   hcm,97
Hanoi Univercity,IT,it,0,hanoi univercity,88,None,-1
tôn đức thắng university,công nghệ thông tin,cong nghe thong tin,42,ton duc thang university,83,None,-1
Đại Học Sư Phạm Kỹ Thuật Hưng Yên,Công nghệ máy và thiết bị hóa chất dầu khí,cong nghe may thiet bi hoa chat dau khi,35,dai hoc su pham ky thuat hung yen,52,dai hoc su pham ky thuat hung yen,100
